Date,Time,Open,High,Low,Close,Volume
2025-04-22,00:45,3424.74,3427.16,3421.9,3425.4,7845
2025-04-22,01:00,3425.4,3434.17,3421.53,3433.69,17517
2025-04-22,01:15,3433.69,3441.28,3432.08,3439.87,12277
2025-04-22,01:30,3439.87,3453.0,3437.62,3450.48,16385
2025-04-22,01:45,3450.49,3454.9,3448.31,3452.91,13567
2025-04-22,02:00,3452.96,3453.58,3442.28,3449.56,14085
2025-04-22,02:15,3449.57,3457.77,3449.52,3455.79,7906
2025-04-22,02:30,3455.74,3468.8,3453.22,3468.19,11579
2025-04-22,02:45,3468.17,3475.94,3466.29,3473.0,12503
2025-04-22,03:00,3472.99,3477.71,3472.03,3476.33,9607
2025-04-22,03:15,3476.35,3489.03,3476.21,3488.52,14881
2025-04-22,03:30,3488.5,3494.84,3483.62,3490.35,10597
2025-04-22,03:45,3490.36,3491.79,3486.87,3487.77,6352
2025-04-22,04:00,3487.77,3488.44,3479.42,3481.62,9478
2025-04-22,04:15,3481.63,3485.73,3480.05,3483.26,6275
2025-04-22,04:30,3483.26,3484.32,3480.28,3481.63,4893
2025-04-22,04:45,3481.62,3487.19,3479.62,3484.32,4009
2025-04-22,05:00,3484.32,3486.74,3477.5,3479.53,7227
2025-04-22,05:15,3479.53,3482.13,3477.21,3480.44,5536
2025-04-22,05:30,3480.71,3488.45,3473.39,3487.94,13477
2025-04-22,05:45,3487.92,3495.5,3487.63,3494.28,12507
2025-04-22,06:00,3494.27,3498.39,3488.82,3497.37,14884
2025-04-22,06:15,3497.34,3499.97,3482.36,3488.28,19753
2025-04-22,06:30,3488.32,3488.32,3476.67,3485.74,21471
2025-04-22,06:45,3485.74,3490.78,3475.28,3479.69,20008
2025-04-22,07:00,3479.69,3480.65,3460.87,3461.99,21541
2025-04-22,07:15,3462.02,3471.32,3460.97,3465.38,17479
2025-04-22,07:30,3465.37,3479.9,3465.1,3473.75,13432
2025-04-22,07:45,3473.75,3474.04,3468.02,3468.61,11980
